element_type,osmid,amenity,bicycle_parking,capacity,covered,geometry,access,fee,lit,operator,surface,nodes,building,description,layer
way,313627176,bicycle_parking,,12,no,"POLYGON ((-83.7449347 42.2742585, -83.7449352 42.2743175, -83.7449673 42.2743173, -83.7449669 42.2742583, -83.7449347 42.2742585))",,,,,,"[3196308815, 3196308816, 3196308814, 1667716280, 3196308815]",,,
way,313629033,bicycle_parking,stands,8,no,"POLYGON ((-83.740755 42.2803631, -83.7404313 42.2803685, -83.7404305 42.2803435, -83.7407242 42.2803379, -83.740755 42.2803631))",,,,,,"[3196331787, 3196331788, 3196331789, 3196331790, 3196331787]",,,
way,499135568,bicycle_parking,stands,18,no,"POLYGON ((-83.7359211 42.2753576, -83.7358088 42.2753583, -83.7358086 42.2753341, -83.7359209 42.2753334, -83.7359211 42.2753576))",permissive,,,,,"[4904496016, 4904496017, 4904496018, 4904496019, 4904496016]",,,
way,499135569,bicycle_parking,stands,38,no,"POLYGON ((-83.7363419 42.2751702, -83.7361855 42.2752813, -83.7361668 42.2752669, -83.7363232 42.2751558, -83.7363419 42.2751702))",permissive,,,,,"[4904496020, 4904500521, 4904500522, 4904500523, 4904496020]",,,
way,499135570,bicycle_parking,stands,18,no,"POLYGON ((-83.7359297 42.2755765, -83.7358127 42.2755782, -83.7358121 42.2755569, -83.7359291 42.2755552, -83.7359297 42.2755765))",permissive,,,,,"[4904500524, 4904500525, 4904500526, 4904500527, 4904500524]",,,
way,499135572,bicycle_parking,stands,18,no,"POLYGON ((-83.7359343 42.2758042, -83.7358216 42.2758055, -83.7358212 42.2757846, -83.7359338 42.2757833, -83.7359343 42.2758042))",permissive,,,,,"[4904500528, 4904500529, 4904500530, 4904500531, 4904500528]",,,
way,499135576,bicycle_parking,stands,18,no,"POLYGON ((-83.7359427 42.2760245, -83.7358245 42.2760261, -83.7358239 42.2760008, -83.7359421 42.2759992, -83.7359427 42.2760245))",permissive,,,,,"[4904500532, 4904500533, 4904500534, 4904500535, 4904500532]",,,
way,570096974,bicycle_parking,stands,140,no,"POLYGON ((-83.7317199 42.2795293, -83.7315751 42.2795313, -83.7315739 42.2794829, -83.7315715 42.2793855, -83.7317011 42.2793838, -83.7317153 42.2793836, -83.7317199 42.2795293))",,,,,,"[5481488832, 5481488833, 4728721079, 5481488834, 5615308035, 5481488835, 5481488832]",,,
way,570109245,bicycle_parking,bollard,48,no,"POLYGON ((-83.7401027 42.2726376, -83.740104 42.2727071, -83.7402269 42.2727061, -83.7402264 42.2726366, -83.7401027 42.2726376))",permissive,,,The University of Michigan,,"[5481582739, 5481582740, 5481582741, 5481582742, 5481582739]",,,
way,570765986,bicycle_parking,bollard,20,no,"POLYGON ((-83.7399839 42.2724132, -83.7399303 42.2724138, -83.7399292 42.2723587, -83.7399828 42.2723581, -83.7399839 42.2724132))",permissive,,,The University of Michigan,,"[5487177524, 5487177525, 5487177526, 5487177527, 5487177524]",,,
way,570765996,bicycle_parking,bollard,36,no,"POLYGON ((-83.739592 42.2729964, -83.7395555 42.2729969, -83.7395522 42.2728624, -83.7395887 42.2728619, -83.739592 42.2729964))",permissive,,,The University of Michigan,,"[5487177596, 5487177597, 5487177598, 5487177599, 5487177596]",,,
