u,v,key,osmid,highway,oneway,reversed,length,geometry,name,lanes,maxspeed
2843205531,5169253686,0,182857675,residential,False,False,37.976,"LINESTRING (116.3110948 39.9685518, 116.3111355 39.9682117)",林园路,,
2843205531,1932225275,0,182857675,residential,False,True,95.895,"LINESTRING (116.3110948 39.9685518, 116.3109964 39.9694109)",林园路,,
2843205531,2843205543,0,280166010,residential,False,False,121.623,"LINESTRING (116.3110948 39.9685518, 116.3096742 39.968447)",吴玉章路,,
2843205531,1779334550,0,280166009,service,True,False,185.654,"LINESTRING (116.3110948 39.9685518, 116.3125189 39.9686633, 116.312692 39.9686633, 116.312827 39.9685997, 116.3129723 39.9684829, 116.3130346 39.9684087, 116.3130591 39.9683425)",,,
2843205539,10238296585,0,1119418888,service,False,True,37.82,"LINESTRING (116.3129202 39.9679966, 116.3124801 39.9679528)",春华路,,
2843205539,10238296583,0,1119418889,service,False,False,15.094,"LINESTRING (116.3129202 39.9679966, 116.3130965 39.9680096)",,,
2843205540,2843205547,0,280166010,residential,False,True,22.172,"LINESTRING (116.3066727 39.9682362, 116.3069323 39.9682495)",吴玉章路,,
2843205540,2843205546,0,280166013,service,False,False,83.635,"LINESTRING (116.3066727 39.9682362, 116.3067376 39.9674857)",,,
2843205540,2843205545,0,280166013,service,False,True,98.6,"LINESTRING (116.3066727 39.9682362, 116.3065546 39.9691183)",,,
2843205541,2843205547,0,280166010,residential,False,False,88.728,"LINESTRING (116.3079687 39.9683258, 116.3069323 39.9682495)",吴玉章路,,
2843205541,5100333275,0,280166010,residential,False,True,67.172,"LINESTRING (116.3079687 39.9683258, 116.3087535 39.968382)",吴玉章路,,
2843205541,2843205542,0,280166011,service,False,False,82.609,"LINESTRING (116.3079687 39.9683258, 116.3080546 39.9675858)",,,
2843205542,5100333267,0,182857676,residential,False,False,67.74,"LINESTRING (116.3080546 39.9675858, 116.3088456 39.9676459)",春华路,,
2843205542,2843205548,0,182857676,residential,False,True,90.73,"LINESTRING (116.3080546 39.9675858, 116.3069946 39.9675097)",春华路,,
2843205542,2843205541,0,280166011,service,False,True,82.609,"LINESTRING (116.3080546 39.9675858, 116.3079687 39.9683258)",,,
2843205542,5018578040,0,513378600,service,False,False,60.248,"LINESTRING (116.3080546 39.9675858, 116.3080695 39.9670441)",,,
2843205543,10238296588,0,280166010,residential,False,False,29.996,"LINESTRING (116.3096742 39.968447, 116.3093237 39.9684223)",吴玉章路,,
2843205543,2843205531,0,280166010,residential,False,True,121.623,"LINESTRING (116.3096742 39.968447, 116.3110948 39.9685518)",吴玉章路,,
2843205543,2843205544,0,280166012,service,False,False,81.824,"LINESTRING (116.3096742 39.968447, 116.3097844 39.967716)",,,
2843205544,2641708703,0,182857676,residential,False,False,82.081,"LINESTRING (116.3097844 39.967716, 116.3107427 39.9677901)",春华路,,
2843205544,5018578044,0,182857676,residential,False,True,14.365,"LINESTRING (116.3097844 39.967716, 116.3096173 39.967699)",春华路,,
2843205544,2843205543,0,280166012,service,False,True,81.824,"LINESTRING (116.3097844 39.967716, 116.3096742 39.968447)",,,
2843205545,5101645684,0,182857678,residential,False,False,7.288,"LINESTRING (116.3065546 39.9691183, 116.3066397 39.9691248)",明志路,,
2843205545,3419716190,0,182857678,residential,False,True,95.588,"LINESTRING (116.3065546 39.9691183, 116.3054385 39.9690327)",明志路,,
2843205545,2843205540,0,280166013,service,False,False,98.6,"LINESTRING (116.3065546 39.9691183, 116.3066727 39.9682362)",,,
2843205546,2843205548,0,182857676,residential,False,False,22.064,"LINESTRING (116.3067376 39.9674857, 116.3069946 39.9675097)",春华路,,
2843205546,5018576920,0,182857676,residential,False,True,96.867,"LINESTRING (116.3067376 39.9674857, 116.3056065 39.9673997)",春华路,,
2843205546,2843205540,0,280166013,service,False,True,83.635,"LINESTRING (116.3067376 39.9674857, 116.3066727 39.9682362)",,,
2843205546,5018578041,0,513378596,residential,False,True,59.15,"LINESTRING (116.3067376 39.9674857, 116.3067887 39.9669552)",,,
