u,v,key,osmid,oneway,lanes,name,highway,maxspeed,reversed,length,geometry,service,access,junction,width,tunnel,bridge
65545441,65545431,0,164139686,False,,Pasteur Drive,residential,25 mph,True,66.51100000000001,"LINESTRING (-122.176497 37.4337379, -122.1765173 37.433678, -122.1766658 37.4332394, -122.1766908 37.4331599)",,no,,,,
65545447,6345569909,0,396881174,True,,Welch Road,tertiary,25 mph,False,8.847,"LINESTRING (-122.1793762 37.4343501, -122.1793017 37.4344033)",,,,,,
65545447,65545427,0,165816831,False,4,Welch Road,tertiary,25 mph,False,67.625,"LINESTRING (-122.1793762 37.4343501, -122.1794084 37.4342535, -122.1795373 37.4338663, -122.1795703 37.4337618)",,,,,,
65545447,7870980838,0,761392626,True,2,Pasteur Drive,residential,,False,121.043,"LINESTRING (-122.1793762 37.4343501, -122.1795543 37.4343792, -122.1798648 37.4343862, -122.1800885 37.43436, -122.1802384 37.4343289, -122.1803756 37.4342737, -122.1805382 37.4342268, -122.180705 37.4341984)",,,,,,
65546898,4820803735,0,164126513,False,4,Palm Drive,secondary,25 mph,False,13.847,"LINESTRING (-122.1667654 37.4379566, -122.1667217 37.4380762)",,,,,,
65546898,518814480,0,396883087,False,3,Arboretum Road,secondary,25 mph,False,14.353,"LINESTRING (-122.1667654 37.4379566, -122.1666193 37.4379)",,,,,,
65546898,518814468,0,673430063,False,3,Arboretum Road,secondary,,True,12.9,"LINESTRING (-122.1667654 37.4379566, -122.1668998 37.4380021)",,,,,,
65546898,6306972824,0,"[396883088, 673453011, 673453013, 396887094, 396887096]",False,"['3', '2']",Palm Drive,secondary,25 mph,False,381.45700000000005,"LINESTRING (-122.1667654 37.4379566, -122.1668165 37.437809, -122.1669349 37.4374671, -122.1672203 37.4366065, -122.167308 37.4363422, -122.1673356 37.436257, -122.1677753 37.4349024, -122.1678566 37.434654, -122.1678629 37.4346387)",,,,,,
65546899,6308631178,0,673654074,True,2,Arboretum Road,secondary,,False,55.468,"LINESTRING (-122.1631944 37.4362746, -122.1637558 37.4364985)",,,,,,
65556600,5262835103,0,380722743,False,,,cycleway,,True,10.289,"LINESTRING (-122.1735676 37.4190575, -122.1735613 37.4191499)",,,,,,
65556600,522188960,0,502968113,False,2,Campus Drive East,tertiary,25 mph,True,19.707,"LINESTRING (-122.1735676 37.4190575, -122.1737906 37.4190641)",,,,,,
65556600,7133218464,0,539100972,False,2,Campus Drive East,tertiary,25 mph,False,147.606,"LINESTRING (-122.1735676 37.4190575, -122.1732273 37.4190741, -122.1728948 37.4190975, -122.1725273 37.419138, -122.1721679 37.419187, -122.171912 37.4192277)",,,,,,
65556602,8910620757,0,8965807,False,,Constanzo Street,residential,,False,7.261,"LINESTRING (-122.1693329 37.4204949, -122.1692937 37.4204375)",,,,,,
65556602,847467170,0,413734169,False,2,Campus Drive East,tertiary,25 mph,False,43.584999999999994,"LINESTRING (-122.1693329 37.4204949, -122.1691664 37.4206429, -122.1690096 37.420791)",,,,,,
65556602,7928670247,0,539100972,False,2,Campus Drive East,tertiary,25 mph,True,112.95700000000001,"LINESTRING (-122.1693329 37.4204949, -122.1698437 37.4200455, -122.1700248 37.4199027, -122.1702219 37.4197802, -122.1702316 37.4197756)",,,,,,
65556603,4742673738,0,671908586,False,2,Campus Drive East,tertiary,25 mph,True,13.094,"LINESTRING (-122.168408 37.4213953, -122.1683022 37.4214778)",,,,,,
65556603,4742673739,0,671908587,False,2,Campus Drive East,tertiary,25 mph,True,9.369,"LINESTRING (-122.168408 37.4213953, -122.1684875 37.4213395)",,,,,,
65556603,1120952275,0,671908589,False,3,Mayfield Avenue,residential,,False,11.869,"LINESTRING (-122.168408 37.4213953, -122.1684883 37.4214809)",,,,,,
